领域代码,领域,地区代码 (M49),地区,要素代码,要素,科目代码,科目,年份代码,年份,单位,值,标识,标识描述,说明
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2000","2000","%","2.2","X","Figure from international organizations",""
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2001","2001","%","2.3","X","Figure from international organizations",""
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2002","2002","%","2.5","X","Figure from international organizations",""
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2003","2003","%","2.6","X","Figure from international organizations",""
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2004","2004","%","2.7","X","Figure from international organizations",""
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2005","2005","%","2.9","X","Figure from international organizations",""
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2006","2006","%","3.1","X","Figure from international organizations",""
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2007","2007","%","3.3","X","Figure from international organizations",""
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2008","2008","%","3.5","X","Figure from international organizations",""
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2009","2009","%","3.7","X","Figure from international organizations",""
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2010","2010","%","4","X","Figure from international organizations",""
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2011","2011","%","4.2","X","Figure from international organizations",""
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2012","2012","%","4.5","X","Figure from international organizations",""
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2013","2013","%","4.8","X","Figure from international organizations",""
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2014","2014","%","5.1","X","Figure from international organizations",""
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2015","2015","%","5.4","X","Figure from international organizations",""
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2016","2016","%","5.7","X","Figure from international organizations",""
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2017","2017","%","6.1","X","Figure from international organizations",""
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2018","2018","%","6.5","X","Figure from international organizations",""
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2019","2019","%","6.9","X","Figure from international organizations",""
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2020","2020","%","7.3","X","Figure from international organizations",""
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2021","2021","%","7.8","X","Figure from international organizations",""
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2022","2022","%","8.3","X","Figure from international organizations",""
"FS","粮食安全指标套系","140","中非共和国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2000","2000","%","3","X","Figure from international organizations",""
"FS","粮食安全指标套系","140","中非共和国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2001","2001","%","3.2","X","Figure from international organizations",""
"FS","粮食安全指标套系","140","中非共和国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2002","2002","%","3.4","X","Figure from international organizations",""
"FS","粮食安全指标套系","140","中非共和国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2003","2003","%","3.7","X","Figure from international organizations",""
"FS","粮食安全指标套系","140","中非共和国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2004","2004","%","3.9","X","Figure from international organizations",""
"FS","粮食安全指标套系","140","中非共和国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2005","2005","%","4.2","X","Figure from international organizations",""
"FS","粮食安全指标套系","140","中非共和国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2006","2006","%","4.4","X","Figure from international organizations",""
"FS","粮食安全指标套系","140","中非共和国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2007","2007","%","4.7","X","Figure from international organizations",""
"FS","粮食安全指标套系","140","中非共和国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2008","2008","%","4.9","X","Figure from international organizations",""
"FS","粮食安全指标套系","140","中非共和国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2009","2009","%","5.1","X","Figure from international organizations",""
"FS","粮食安全指标套系","140","中非共和国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2010","2010","%","5.4","X","Figure from international organizations",""
"FS","粮食安全指标套系","140","中非共和国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2011","2011","%","5.6","X","Figure from international organizations",""
"FS","粮食安全指标套系","140","中非共和国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2012","2012","%","5.9","X","Figure from international organizations",""
"FS","粮食安全指标套系","140","中非共和国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2013","2013","%","6.1","X","Figure from international organizations",""
"FS","粮食安全指标套系","140","中非共和国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2014","2014","%","6.4","X","Figure from international organizations",""
"FS","粮食安全指标套系","140","中非共和国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2015","2015","%","6.7","X","Figure from international organizations",""
"FS","粮食安全指标套系","140","中非共和国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2016","2016","%","7","X","Figure from international organizations",""
"FS","粮食安全指标套系","140","中非共和国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2017","2017","%","7.4","X","Figure from international organizations",""
"FS","粮食安全指标套系","140","中非共和国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2018","2018","%","7.7","X","Figure from international organizations",""
"FS","粮食安全指标套系","140","中非共和国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2019","2019","%","8.1","X","Figure from international organizations",""
"FS","粮食安全指标套系","140","中非共和国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2020","2020","%","8.4","X","Figure from international organizations",""
"FS","粮食安全指标套系","140","中非共和国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2021","2021","%","8.9","X","Figure from international organizations",""
"FS","粮食安全指标套系","140","中非共和国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2022","2022","%","9.3","X","Figure from international organizations",""
"FS","粮食安全指标套系","376","以色列","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2000","2000","%","18.6","X","Figure from international organizations",""
"FS","粮食安全指标套系","376","以色列","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2001","2001","%","19","X","Figure from international organizations",""
"FS","粮食安全指标套系","376","以色列","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2002","2002","%","19.5","X","Figure from international organizations",""
"FS","粮食安全指标套系","376","以色列","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2003","2003","%","19.9","X","Figure from international organizations",""
"FS","粮食安全指标套系","376","以色列","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2004","2004","%","20.3","X","Figure from international organizations",""
"FS","粮食安全指标套系","376","以色列","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2005","2005","%","20.7","X","Figure from international organizations",""
"FS","粮食安全指标套系","376","以色列","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2006","2006","%","21","X","Figure from international organizations",""
"FS","粮食安全指标套系","376","以色列","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2007","2007","%","21.2","X","Figure from international organizations",""
"FS","粮食安全指标套系","376","以色列","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2008","2008","%","21.5","X","Figure from international organizations",""
"FS","粮食安全指标套系","376","以色列","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2009","2009","%","21.7","X","Figure from international organizations",""
"FS","粮食安全指标套系","376","以色列","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2010","2010","%","21.8","X","Figure from international organizations",""
"FS","粮食安全指标套系","376","以色列","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2011","2011","%","21.9","X","Figure from international organizations",""
"FS","粮食安全指标套系","376","以色列","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2012","2012","%","21.9","X","Figure from international organizations",""
"FS","粮食安全指标套系","376","以色列","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2013","2013","%","22","X","Figure from international organizations",""
"FS","粮食安全指标套系","376","以色列","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2014","2014","%","22","X","Figure from international organizations",""
"FS","粮食安全指标套系","376","以色列","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2015","2015","%","22","X","Figure from international organizations",""
"FS","粮食安全指标套系","376","以色列","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2016","2016","%","22.1","X","Figure from international organizations",""
"FS","粮食安全指标套系","376","以色列","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2017","2017","%","22.1","X","Figure from international organizations",""
"FS","粮食安全指标套系","376","以色列","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2018","2018","%","22.2","X","Figure from international organizations",""
"FS","粮食安全指标套系","376","以色列","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2019","2019","%","22.2","X","Figure from international organizations",""
"FS","粮食安全指标套系","376","以色列","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2020","2020","%","22.3","X","Figure from international organizations",""
"FS","粮食安全指标套系","376","以色列","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2021","2021","%","22.4","X","Figure from international organizations",""
"FS","粮食安全指标套系","376","以色列","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2022","2022","%","22.5","X","Figure from international organizations",""
"FS","粮食安全指标套系","124","加拿大","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2000","2000","%","20.2","X","Figure from international organizations",""
"FS","粮食安全指标套系","124","加拿大","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2001","2001","%","20.7","X","Figure from international organizations",""
"FS","粮食安全指标套系","124","加拿大","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2002","2002","%","21.3","X","Figure from international organizations",""
"FS","粮食安全指标套系","124","加拿大","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2003","2003","%","21.8","X","Figure from international organizations",""
"FS","粮食安全指标套系","124","加拿大","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2004","2004","%","22.2","X","Figure from international organizations",""
"FS","粮食安全指标套系","124","加拿大","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2005","2005","%","22.7","X","Figure from international organizations",""
"FS","粮食安全指标套系","124","加拿大","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2006","2006","%","23.1","X","Figure from international organizations",""
"FS","粮食安全指标套系","124","加拿大","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2007","2007","%","23.4","X","Figure from international organizations",""
"FS","粮食安全指标套系","124","加拿大","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2008","2008","%","23.7","X","Figure from international organizations",""
"FS","粮食安全指标套系","124","加拿大","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2009","2009","%","24","X","Figure from international organizations",""
"FS","粮食安全指标套系","124","加拿大","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2010","2010","%","24.3","X","Figure from international organizations",""
"FS","粮食安全指标套系","124","加拿大","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2011","2011","%","24.5","X","Figure from international organizations",""
"FS","粮食安全指标套系","124","加拿大","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2012","2012","%","24.7","X","Figure from international organizations",""
"FS","粮食安全指标套系","124","加拿大","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2013","2013","%","24.8","X","Figure from international organizations",""
"FS","粮食安全指标套系","124","加拿大","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2014","2014","%","25","X","Figure from international organizations",""
"FS","粮食安全指标套系","124","加拿大","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2015","2015","%","25.1","X","Figure from international organizations",""
"FS","粮食安全指标套系","124","加拿大","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2016","2016","%","25.3","X","Figure from international organizations",""
"FS","粮食安全指标套系","124","加拿大","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2017","2017","%","25.4","X","Figure from international organizations",""
"FS","粮食安全指标套系","124","加拿大","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2018","2018","%","25.6","X","Figure from international organizations",""
"FS","粮食安全指标套系","124","加拿大","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2019","2019","%","25.7","X","Figure from international organizations",""
"FS","粮食安全指标套系","124","加拿大","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2020","2020","%","25.9","X","Figure from international organizations",""
"FS","粮食安全指标套系","124","加拿大","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2021","2021","%","26","X","Figure from international organizations",""
"FS","粮食安全指标套系","124","加拿大","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2022","2022","%","26.2","X","Figure from international organizations",""
"FS","粮食安全指标套系","356","印 度","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2000","2000","%","1.8","X","Figure from international organizations",""
"FS","粮食安全指标套系","356","印 度","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2001","2001","%","2","X","Figure from international organizations",""
"FS","粮食安全指标套系","356","印 度","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2002","2002","%","2.1","X","Figure from international organizations",""
"FS","粮食安全指标套系","356","印 度","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2003","2003","%","2.3","X","Figure from international organizations",""
"FS","粮食安全指标套系","356","印 度","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2004","2004","%","2.4","X","Figure from international organizations",""
"FS","粮食安全指标套系","356","印 度","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2005","2005","%","2.6","X","Figure from international organizations",""
"FS","粮食安全指标套系","356","印 度","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2006","2006","%","2.8","X","Figure from international organizations",""
"FS","粮食安全指标套系","356","印 度","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2007","2007","%","3","X","Figure from international organizations",""
"FS","粮食安全指标套系","356","印 度","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2008","2008","%","3.2","X","Figure from international organizations",""
"FS","粮食安全指标套系","356","印 度","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2009","2009","%","3.4","X","Figure from international organizations",""
"FS","粮食安全指标套系","356","印 度","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2010","2010","%","3.7","X","Figure from international organizations",""
"FS","粮食安全指标套系","356","印 度","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2011","2011","%","3.9","X","Figure from international organizations",""
"FS","粮食安全指标套系","356","印 度","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2012","2012","%","4.1","X","Figure from international organizations",""
"FS","粮食安全指标套系","356","印 度","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2013","2013","%","4.4","X","Figure from international organizations",""
"FS","粮食安全指标套系","356","印 度","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2014","2014","%","4.6","X","Figure from international organizations",""
"FS","粮食安全指标套系","356","印 度","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2015","2015","%","4.9","X","Figure from international organizations",""
"FS","粮食安全指标套系","356","印 度","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2016","2016","%","5.2","X","Figure from international organizations",""
"FS","粮食安全指标套系","356","印 度","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2017","2017","%","5.5","X","Figure from international organizations",""
"FS","粮食安全指标套系","356","印 度","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2018","2018","%","5.8","X","Figure from international organizations",""
"FS","粮食安全指标套系","356","印 度","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2019","2019","%","6.2","X","Figure from international organizations",""
"FS","粮食安全指标套系","356","印 度","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2020","2020","%","6.5","X","Figure from international organizations",""
"FS","粮食安全指标套系","356","印 度","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2021","2021","%","6.9","X","Figure from international organizations",""
"FS","粮食安全指标套系","356","印 度","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2022","2022","%","7.3","X","Figure from international organizations",""
"FS","粮食安全指标套系","398","哈萨克斯坦","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2000","2000","%","13.8","X","Figure from international organizations",""
"FS","粮食安全指标套系","398","哈萨克斯坦","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2001","2001","%","14","X","Figure from international organizations",""
"FS","粮食安全指标套系","398","哈萨克斯坦","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2002","2002","%","14.1","X","Figure from international organizations",""
"FS","粮食安全指标套系","398","哈萨克斯坦","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2003","2003","%","14.3","X","Figure from international organizations",""
"FS","粮食安全指标套系","398","哈萨克斯坦","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2004","2004","%","14.5","X","Figure from international organizations",""
"FS","粮食安全指标套系","398","哈萨克斯坦","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2005","2005","%","14.7","X","Figure from international organizations",""
"FS","粮食安全指标套系","398","哈萨克斯坦","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2006","2006","%","14.9","X","Figure from international organizations",""
"FS","粮食安全指标套系","398","哈萨克斯坦","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2007","2007","%","15.1","X","Figure from international organizations",""
"FS","粮食安全指标套系","398","哈萨克斯坦","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2008","2008","%","15.3","X","Figure from international organizations",""
"FS","粮食安全指标套系","398","哈萨克斯坦","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2009","2009","%","15.5","X","Figure from international organizations",""
"FS","粮食安全指标套系","398","哈萨克斯坦","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2010","2010","%","15.7","X","Figure from international organizations",""
"FS","粮食安全指标套系","398","哈萨克斯坦","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2011","2011","%","15.9","X","Figure from international organizations",""
"FS","粮食安全指标套系","398","哈萨克斯坦","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2012","2012","%","16.1","X","Figure from international organizations",""
"FS","粮食安全指标套系","398","哈萨克斯坦","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2013","2013","%","16.3","X","Figure from international organizations",""
"FS","粮食安全指标套系","398","哈萨克斯坦","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2014","2014","%","16.5","X","Figure from international organizations",""
"FS","粮食安全指标套系","398","哈萨克斯坦","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2015","2015","%","16.7","X","Figure from international organizations",""
"FS","粮食安全指标套系","398","哈萨克斯坦","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2016","2016","%","17","X","Figure from international organizations",""
"FS","粮食安全指标套系","398","哈萨克斯坦","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2017","2017","%","17.2","X","Figure from international organizations",""
"FS","粮食安全指标套系","398","哈萨克斯坦","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2018","2018","%","17.4","X","Figure from international organizations",""
"FS","粮食安全指标套系","398","哈萨克斯坦","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2019","2019","%","17.6","X","Figure from international organizations",""
"FS","粮食安全指标套系","398","哈萨克斯坦","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2020","2020","%","17.9","X","Figure from international organizations",""
"FS","粮食安全指标套系","398","哈萨克斯坦","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2021","2021","%","18.1","X","Figure from international organizations",""
"FS","粮食安全指标套系","398","哈萨克斯坦","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2022","2022","%","18.4","X","Figure from international organizations",""
"FS","粮食安全指标套系","792","土耳其","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2000","2000","%","24.1","X","Figure from international organizations",""
"FS","粮食安全指标套系","792","土耳其","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2001","2001","%","24.7","X","Figure from international organizations",""
"FS","粮食安全指标套系","792","土耳其","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2002","2002","%","25.2","X","Figure from international organizations",""
"FS","粮食安全指标套系","792","土耳其","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2003","2003","%","25.8","X","Figure from international organizations",""
"FS","粮食安全指标套系","792","土耳其","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2004","2004","%","26.3","X","Figure from international organizations",""
"FS","粮食安全指标套系","792","土耳其","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2005","2005","%","26.8","X","Figure from international organizations",""
"FS","粮食安全指标套系","792","土耳其","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2006","2006","%","27.2","X","Figure from international organizations",""
